miles,location,name,sex,w,l,d,division,from,to,players_links
872,"USA, Missouri, Waynesville",Colten Carmack,male,1,1,0,super middle,2018,2019,https://boxrec.com/en/proboxer/845823
873,"USA, Missouri, Saint Thomas",Garrett Mueller,male,1,0,1,super middle,2017,2019,https://boxrec.com/en/proboxer/804638
874,"USA, Wisconsin, Wisconsin Rapids",Michael Thunder,male,2,1,0,super middle,2015,2019,https://boxrec.com/en/proboxer/730299
878,"USA, Iowa, Coralville",Julie Guiste,female,0,1,0,middle,2019,2019,https://boxrec.com/en/proboxer/865528
881,"USA, Missouri, Columbia",Quintell Thompson,male,4,8,1,cruiser,2012,2019,https://boxrec.com/en/proboxer/629341
881,"USA, Missouri, Columbia",Benjamin Bennett,male,5,0,0,light heavy,2017,2019,https://boxrec.com/en/proboxer/822026
881,"USA, Missouri, Columbia",Raymond Gray,male,3,9,0,cruiser,2015,2019,https://boxrec.com/en/proboxer/728197
881,"USA, Missouri, Columbia",David Mason,male,3,6,0,super middle,2016,2019,https://boxrec.com/en/proboxer/763510
884,"USA, Wisconsin, Crandon",Mark Daniels Jr,male,4,1,0,middle,2015,2019,https://boxrec.com/en/proboxer/713776
886,"USA, Florida, Marathon",Brian Stevens,male,1,8,0,light heavy,2016,2019,https://boxrec.com/en/proboxer/759855
888,"USA, Iowa, Cedar Rapids",Cruse Stewart,male,5,0,0,middle,2018,2019,https://boxrec.com/en/proboxer/839367
888,"USA, Iowa, Cedar Rapids",Andre Espeut,male,5,9,0,light heavy,2008,2019,https://boxrec.com/en/proboxer/473453
895,"USA, Arkansas",Terry Chapwood,male,9,0,1,welter,2016,2019,https://boxrec.com/en/proboxer/759078
895,"USA, Arkansas",Demario Moore,male,1,1,0,super middle,2017,2019,https://boxrec.com/en/proboxer/818750
895,"USA, Arkansas",Lamar Lewis,male,0,5,0,heavy,2018,2019,https://boxrec.com/en/proboxer/825640
896,"USA, Louisiana, Slidell",Lance Thompson,male,0,2,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/839359
897,"USA, Arkansas, Pine Bluff",Donald Griffin,male,8,1,0,middle,2012,2019,https://boxrec.com/en/proboxer/636753
901,"USA, Louisiana, Abita Springs",Nick Winstead,male,0,2,0,super welter,2019,2019,https://boxrec.com/en/proboxer/885503
