,name,wins,draws,losses,location,division,average_weight,average_opponent_weight,opp_points,bouts_fought,win by knockout,win by split decision,win by technical knockout,win by unanimous decision,sex,total_points
2391,Efe Ajagba,11.0,0.0,0.0,"USA, Texas, Stafford",heavy,237.22727272727272,248.75,6.818181818181818,11.0,4.0,0.0,4.0,1.0,male,219.76881941587823
2392,Edwin Rodriguez,31.0,0.0,2.0,"USA, Texas, Stafford",cruiser,170.03787878787878,169.61363636363637,9.090909090909092,33.0,2.0,0.0,16.0,11.0,male,623.2400289664631
2393,Edgar Alarcon,6.0,1.0,1.0,"USA, Texas, Sugar Land",super feather,127.5625,126.8125,5.625,8.0,1.0,0.0,0.0,4.0,male,60.625
2394,John Vera,19.0,0.0,1.0,"USA, Texas, Fort Worth",super welter,153.2625,153.475,5.25,20.0,1.0,1.0,8.0,5.0,male,250.20454545454544
2395,Santiago Dominguez,19.0,0.0,0.0,"USA, Texas, Fort Worth",welter,,,0.0,19.0,,,,,male,190.0
2396,Jesse Angel Hernandez,11.0,0.0,3.0,"USA, Texas, Fort Worth",super bantam,121.53125,121.41666666666667,5.357142857142857,14.0,1.0,0.0,5.0,4.0,male,119.90659340659342
2397,Edward Vazquez,6.0,0.0,0.0,"USA, Texas, Fort Worth",feather,129.25,130.39285714285714,12.5,6.0,0.0,1.0,0.0,5.0,male,87.5
2398,Clay Burns,8.0,2.0,6.0,"USA, Texas, Fort Worth",super light,132.3125,132.359375,14.0625,16.0,0.0,0.0,4.0,3.0,male,63.30425824175824
2399,Arthur Trevino,8.0,3.0,10.0,"USA, Texas, Fort Worth",feather,130.25,130.64285714285714,9.285714285714286,21.0,1.0,1.0,4.0,2.0,male,21.285714285714285
2400,Michael Lemelle,3.0,1.0,3.0,"USA, Texas, Fort Worth",middle,151.07142857142858,150.89285714285714,4.285714285714286,7.0,0.0,1.0,0.0,1.0,male,9.285714285714285
2401,Benjamin Gurment,1.0,1.0,0.0,"USA, Texas, Fort Worth",super welter,152.25,154.625,0.0,2.0,0.0,0.0,1.0,0.0,male,15.0
2402,Francisco Cruz,5.0,1.0,1.0,"USA, Texas, Fort Worth",super welter,139.25,139.32142857142858,4.285714285714286,7.0,0.0,1.0,0.0,3.0,male,49.285714285714285
2403,Orlando Collins,0.0,0.0,2.0,"USA, Texas, Euless",super light,139.5,140.125,7.5,2.0,0.0,0.0,0.0,0.0,male,-12.5
2404,David Limerick,11.0,0.0,0.0,"USA, Texas, Katy",welter,142.175,142.475,10.909090909090908,11.0,0.0,0.0,4.0,4.0,male,135.74242424242425
2405,Kasimu Yakubu,1.0,0.0,1.0,"USA, Texas, Katy",middle,164.5,163.875,0.0,2.0,1.0,0.0,0.0,0.0,male,0.0
2406,Adam Ealoms,3.0,3.0,18.0,"USA, Texas, Bryan",super welter,149.40217391304347,149.08695652173913,4.375,24.0,0.0,0.0,1.0,1.0,male,-130.625
2407,Jabrandon Harris,0.0,0.0,3.0,"USA, Texas, Bryan",super middle,163.5,160.58333333333334,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
2408,Antonio Williams,12.0,1.0,0.0,"USA, Texas, Richmond",light,131.09615384615384,130.44230769230768,5.769230769230769,13.0,3.0,1.0,2.0,4.0,male,130.76923076923077
2409,Dondrell Haynes,4.0,0.0,0.0,"USA, Texas, Rosenberg",welter,142.25,140.625,3.75,4.0,2.0,0.0,2.0,0.0,male,43.75
2410,Marquis Hawthorne,8.0,0.0,12.0,"USA, Texas, Waco",welter,143.6875,143.875,5.25,20.0,1.0,1.0,1.0,5.0,male,29.2935064935065
2411,Lucas McDonald,0.0,0.0,4.0,"USA, Texas, Bellville",middle,157.5,156.8125,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
2412,Jake Henriksen,3.0,0.0,5.0,"USA, Minnesota, Glyndon",super welter,157.0,158.47222222222223,1.875,8.0,2.0,0.0,0.0,0.0,male,-16.325
2413,William Deets,8.0,0.0,14.0,"USA, Nebraska, Kearney",light heavy,168.41666666666666,168.79761904761904,2.727272727272727,22.0,1.0,1.0,2.0,4.0,male,-11.888111888111894
2414,Emilio Hernandez,6.0,0.0,9.0,"USA, Nebraska, Kearney",welter,144.14285714285714,143.69642857142858,8.0,15.0,4.0,0.0,0.0,2.0,male,-22.0
2415,Luis Marquez,1.0,0.0,3.0,"USA, Nebraska, Kearney",super welter,151.6875,152.1875,0.0,4.0,0.0,0.0,1.0,0.0,male,-20.0
2416,Rondale Hubbert,13.0,2.0,10.0,"USA, North Dakota, Fargo",super welter,142.13888888888889,142.77083333333334,6.6,25.0,2.0,1.0,5.0,4.0,male,59.5375
2417,Jose Homar Rios,2.0,1.0,7.0,"USA, Minnesota, Moorhead",feather,131.125,131.3,3.0,10.0,0.0,0.0,1.0,1.0,male,-42.0
2418,Starr Roberts,0.0,0.0,12.0,"USA, North Dakota, Fargo",super middle,158.725,158.2,1.25,12.0,0.0,0.0,0.0,0.0,male,-118.75
2419,Yancy Cuellar,3.0,0.0,10.0,"USA, North Dakota, West Fargo",super middle,165.33333333333334,164.47916666666666,2.3076923076923075,13.0,0.0,0.0,1.0,1.0,male,-54.69230769230769
2420,Shamarian Snider,9.0,1.0,2.0,"USA, Texas, Temple",cruiser,214.9375,221.54166666666666,3.75,12.0,3.0,0.0,4.0,2.0,male,97.45588235294117
2421,Dalton Duncan,0.0,0.0,1.0,"USA, Oklahoma, Frederick",unknown,167.0,165.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2422,Jas Phipps,10.0,2.0,7.0,"USA, Texas, Killeen",middle,165.28947368421052,165.94736842105263,3.9473684210526314,19.0,0.0,2.0,5.0,2.0,male,124.56757748028609
2423,Reshard Hicks,12.0,1.0,1.0,"USA, Texas, Killeen",welter,147.46428571428572,149.32692307692307,4.285714285714286,14.0,2.0,0.0,3.0,5.0,male,146.99404761904762
2424,Corey Gulley,2.0,2.0,4.0,"USA, Texas, Killeen",super light,139.21875,139.40625,5.625,8.0,0.0,0.0,0.0,1.0,male,-4.375
2425,Kendrik Williams,1.0,1.0,0.0,"USA, Texas, Killeen",welter,147.0,150.5,0.0,2.0,0.0,0.0,0.0,1.0,male,15.0
2426,Rebecca Adney,0.0,0.0,1.0,"USA, Texas, Killeen",super bantam,120.25,121.0,0.0,1.0,0.0,0.0,0.0,0.0,female,-10.0
2427,Jose Jacobo,7.0,0.0,1.0,"USA, Nebraska",super light,138.0625,137.78125,5.625,8.0,1.0,1.0,1.0,4.0,male,74.09166666666667
2428,Raul Chavaria,3.0,1.0,0.0,"USA, Nebraska",super welter,154.375,154.6875,3.75,4.0,0.0,1.0,1.0,1.0,male,45.17857142857143
2429,Jack Freriks,2.0,0.0,0.0,"USA, Nebraska",unknown,166.25,166.75,0.0,2.0,0.0,0.0,1.0,0.0,male,20.0
2430,Andrew Carleton,7.0,3.0,13.0,"USA, Nebraska",cruiser,,,0.0,23.0,,,,,male,-45.0
2431,Treven Coleman,6.0,0.0,3.0,"USA, Nebraska",light,133.94444444444446,133.02777777777777,3.3333333333333335,9.0,0.0,0.0,3.0,2.0,male,47.333333333333336
2432,Tevin Anderson,3.0,0.0,0.0,"USA, Nebraska",cruiser,172.0,172.0,0.0,3.0,0.0,0.0,2.0,1.0,male,30.0
2433,Brock Smith,1.0,0.0,2.0,"USA, Nebraska",light heavy,175.33333333333334,176.66666666666666,0.0,3.0,0.0,0.0,0.0,1.0,male,-10.0
2434,Eduardo Escobedo,34.0,0.0,8.0,"USA, Texas, Jarrell",super light,,,0.0,42.0,,,,,male,260.0
2435,Stetson Horne,0.0,0.0,4.0,"USA, Texas, Elgin",light heavy,167.9375,167.625,3.75,4.0,0.0,0.0,0.0,0.0,male,-36.25
2436,Nestor Robledo,7.0,2.0,10.0,"USA, Texas, Georgetown",feather,120.078125,119.609375,10.263157894736842,19.0,0.0,1.0,0.0,5.0,male,-9.736842105263158
2437,Kieren Dewayne McGowan,3.0,0.0,0.0,"USA, Texas, Pflugerville",light,135.66666666666666,134.58333333333334,0.0,3.0,1.0,0.0,1.0,1.0,male,30.0
2438,Marquese Steward,1.0,0.0,1.0,"USA, Texas, Pflugerville",unknown,134.875,135.0,0.0,2.0,0.0,1.0,0.0,0.0,male,0.0
2439,Matthew Shefferd,1.0,0.0,1.0,"USA, Oklahoma, Sayre",heavy,205.5,195.5,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
2440,Travell Mazion,15.0,0.0,0.0,"USA, Texas, Austin",super welter,144.05,143.78333333333333,2.0,15.0,4.0,0.0,8.0,3.0,male,171.44736842105263
2441,Alexis Camacho,22.0,0.0,6.0,"USA, Texas, Austin",middle,,,0.0,28.0,,,,,male,160.0
2442,Brian Vera,26.0,0.0,15.0,"USA, Texas, Austin",light heavy,163.8109756097561,163.15243902439025,10.24390243902439,41.0,4.0,1.0,10.0,6.0,male,202.93834688346882
2443,Kurtiss Colvin,15.0,0.0,3.0,"USA, Texas, Austin",middle,,,0.0,18.0,,,,,male,120.0
2444,Albert Romero,11.0,1.0,3.0,"USA, Texas, Austin",super light,,,0.0,15.0,,,,,male,85.0
2445,Corey Barlow,3.0,2.0,4.0,"USA, Texas, Austin",heavy,,,0.0,9.0,,,,,male,0.0
2446,Robert Kevin Garcia,4.0,0.0,0.0,"USA, Texas, Austin",super light,136.3125,136.3125,3.75,4.0,0.0,0.0,0.0,0.0,male,45.75
2447,Rayford Johnson,11.0,0.0,26.0,"USA, Texas, Austin",cruiser,196.17567567567568,204.30555555555554,8.108108108108109,37.0,2.0,1.0,4.0,3.0,male,-118.3918918918919
2448,Javier Martinez,4.0,0.0,7.0,"USA, Texas, Austin",light,134.8409090909091,135.8409090909091,5.454545454545454,11.0,1.0,0.0,1.0,1.0,male,-24.545454545454547
2449,Deon Ronny Hale,5.0,1.0,13.0,"USA, Texas, Austin",heavy,252.5921052631579,249.06578947368422,11.052631578947368,19.0,2.0,1.0,2.0,0.0,male,-63.94736842105263
2450,Jamison Brown,2.0,0.0,1.0,"USA, Texas, Austin",super welter,152.91666666666666,152.58333333333334,5.0,3.0,0.0,0.0,1.0,0.0,male,17.0
2451,Christian Faz,5.0,3.0,6.0,"USA, Texas, Austin",feather,125.23214285714286,125.125,5.357142857142857,14.0,0.0,2.0,0.0,3.0,male,10.357142857142858
2452,Carlos Trevino,6.0,1.0,14.0,"USA, Texas, Austin",feather,125.55952380952381,125.77380952380952,4.285714285714286,21.0,0.0,1.0,1.0,3.0,male,-68.64285714285714
2453,Prisco Marquez,4.0,1.0,2.0,"USA, Texas, Austin",super feather,129.25,128.25,2.142857142857143,7.0,0.0,0.0,1.0,3.0,male,27.142857142857142
2454,Peter Villanueva Jr,1.0,0.0,0.0,"USA, Texas, Austin",unknown,170.5,171.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
2455,Leesa Daniels,1.0,0.0,5.0,"USA, Texas, Austin",super bantam,118.70833333333333,119.20833333333333,25.0,6.0,0.0,0.0,0.0,0.0,female,-15.0
2456,Victor Barthelemy,1.0,0.0,0.0,"USA, Texas, Austin",unknown,128.75,130.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
2457,Warren Stewart,0.0,0.0,11.0,"USA, Texas, Austin",middle,153.45454545454547,151.02272727272728,5.454545454545454,11.0,0.0,0.0,0.0,0.0,male,-104.54545454545455
2458,Geovanni Miranda Medel,0.0,0.0,1.0,"USA, Texas, Austin",unknown,125.0,124.75,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2459,Steven Orlando,0.0,0.0,1.0,"USA, Texas, Austin",unknown,171.0,170.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2460,Michael Coronado,1.0,1.0,2.0,"USA, Texas, San Marcos",cruiser,201.75,216.5625,0.0,4.0,0.0,1.0,0.0,0.0,male,-5.0
2461,Jose Guerra,0.0,0.0,3.0,"USA, Texas, San Marcos",super light,138.0,137.91666666666666,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
2462,Eric Vargas,5.0,0.0,0.0,"USA, Kansas, Garden City",feather,,,0.0,5.0,,,,,male,50.0
2463,Lester De Paz,2.0,0.0,0.0,"USA, Kansas, Garden City",heavy,204.375,196.625,0.0,2.0,0.0,0.0,0.0,0.0,male,20.0
2464,Esai Herrera,2.0,0.0,0.0,"USA, Texas, Converse",cruiser,173.375,171.875,0.0,2.0,0.0,0.0,1.0,0.0,male,20.0
2465,Greg Richter,0.0,1.0,1.0,"USA, Texas, Poth",heavy,270.75,292.5,0.0,2.0,0.0,0.0,0.0,0.0,male,-5.0
2466,Stephen Carrington,0.0,0.0,1.0,"USA, Texas, Ellington Field",super middle,167.0,167.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
2467,Robert Serna,4.0,1.0,0.0,"USA, Texas, Beeville",super middle,159.8,159.2,6.0,5.0,0.0,0.0,0.0,3.0,male,54.2
2468,Oliver McCall,59.0,0.0,14.0,"USA, Texas, Corpus Christi",heavy,,,0.0,73.0,,,,,male,450.0
2469,Ernest Reyna,10.0,0.0,6.0,"USA, Texas, Corpus Christi",heavy,214.02777777777777,226.80555555555554,7.5,16.0,2.0,1.0,3.0,3.0,male,47.666666666666664
2470,Juan Abel Garza,3.0,0.0,0.0,"USA, Texas, Corpus Christi",heavy,312.8333333333333,214.41666666666666,0.0,3.0,2.0,0.0,1.0,0.0,male,30.0
2471,Raymond Guzman,3.0,0.0,3.0,"USA, Texas, Corpus Christi",super middle,167.5,163.5,15.0,6.0,0.0,0.0,0.0,1.0,male,15.0
2472,Mark Beuke,3.0,0.0,2.0,"USA, Texas, Corpus Christi",super middle,168.4,170.1,6.0,5.0,0.0,0.0,1.0,1.0,male,20.0
2473,David Godley,1.0,0.0,1.0,"USA, Texas, Corpus Christi",super middle,164.25,165.375,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
2474,John Rincon,4.0,0.0,0.0,"USA, Texas, Corpus Christi",light,132.91666666666666,132.0,0.0,4.0,0.0,0.0,2.0,2.0,male,40.0
2475,Mario Barrios,25.0,0.0,0.0,"USA, Texas, San Antonio",super light,,,0.0,25.0,,,,,male,250.0
2476,James Kirkland,33.0,0.0,2.0,"USA, Texas, San Antonio",super welter,,,0.0,35.0,,,,,male,310.0
2477,Joshua Franco,15.0,2.0,1.0,"USA, Texas, San Antonio",bantam,,,0.0,18.0,,,,,male,150.0
2478,Hector Tanajara,18.0,0.0,0.0,"USA, Texas, San Antonio",light,,,0.0,18.0,,,,,male,180.0
2479,Adam Lopez,18.0,2.0,3.0,"USA, Texas, San Antonio",super bantam,121.92391304347827,121.34782608695652,11.08695652173913,23.0,5.0,0.0,4.0,8.0,male,228.99409937888197
2480,Edward Jeramie Ortiz,9.0,2.0,0.0,"USA, Texas, San Antonio",middle,,,0.0,11.0,,,,,male,100.0
2481,Joseph Rodriguez,15.0,1.0,0.0,"USA, Texas, San Antonio",super light,130.53125,128.65625,11.25,16.0,0.0,1.0,2.0,9.0,male,212.89615384615385
2482,Kendo Castaneda,17.0,0.0,0.0,"USA, Texas, San Antonio",super light,140.76388888888889,140.52777777777777,10.588235294117647,17.0,0.0,0.0,7.0,7.0,male,290.0690133261543
