,Unnamed: 0,name,wins,losses,draws,average_weight,sex,division,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against
72,72,Rommel Caballero,5.0,0.0,0.0,131.8,male,light,5.71,40.0,25.88,0.5,5.0,5.5,29.73,26.67,28.85,1.0,2.75,3.75
73,73,Marvin Cabrera,10.0,1.0,0.0,155.02,male,super welter,14.34,32.76,27.89,9.75,62.0,71.75,30.56,12.05,26.81,10.0,100.0,110.0
74,74,Harold Calderon,21.0,0.0,0.0,148.29,male,welter,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
75,75,Alexis Camacho,22.0,6.0,0.0,,male,middle,17.26,23.4,20.36,53.0,73.0,126.0,24.21,7.02,19.3,8.0,69.0,77.0
76,76,Andrew Cancio,21.0,4.0,2.0,,male,super feather,19.79,41.46,34.66,32.5,148.75,181.25,27.97,18.4,25.28,25.25,98.25,123.5
77,77,Cesar Cantu,3.0,0.0,0.0,127.83,male,super feather,16.36,36.7,32.1,9.0,69.0,78.0,27.55,11.96,20.0,11.0,27.0,38.0
78,78,Keenan Carbajal,19.0,2.0,1.0,127.57,male,feather,17.78,29.73,23.17,8.0,11.0,19.0,15.49,16.67,15.73,3.0,11.0,14.0
79,79,Ramon Cardenas,17.0,1.0,0.0,124.49,male,feather,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
80,80,Justin Cardona,3.0,0.0,0.0,135.75,male,super light,40.0,50.0,47.92,4.0,19.0,23.0,25.0,0.0,9.09,0.0,2.0,2.0
81,81,Raul Casarez,22.0,10.0,0.0,156.58,male,super middle,19.19,47.75,39.9,27.0,177.0,204.0,44.73,18.72,37.86,22.33,148.67,171.0
82,82,Jairo Castaneda,10.0,2.0,0.0,144.73,male,welter,43.01,53.94,50.0,40.0,89.0,129.0,30.0,12.5,25.0,9.0,54.0,63.0
83,83,Brian Ceballo,11.0,0.0,0.0,147.2,male,welter,13.2,37.9,26.15,41.5,131.5,173.0,25.88,4.6,21.07,4.0,77.0,81.0
84,84,Cassius Chaney,17.0,0.0,0.0,,male,heavy,14.61,44.59,30.97,15.0,55.0,70.0,28.18,12.36,22.17,7.33,27.33,34.67
85,85,Jermall Charlo,29.0,0.0,0.0,,male,middle,28.57,44.84,36.04,43.76,58.29,102.06,29.28,13.91,22.2,14.71,36.24,50.94
86,86,Jermell Charlo,32.0,1.0,0.0,,male,super welter,21.11,43.01,30.13,44.11,62.94,107.06,27.95,14.98,22.16,20.33,47.17,67.5
87,87,Joaquin Chavez,9.0,19.0,4.0,139.95,male,welter,19.61,19.01,19.34,30.0,23.0,53.0,26.14,30.65,27.44,19.0,40.0,59.0
88,88,Charles Clark,2.0,5.0,1.0,124.69,male,super feather,12.18,27.27,20.41,19.0,51.0,70.0,38.74,38.24,38.58,52.0,117.0,169.0
89,89,Jamontay Clark,14.0,1.0,1.0,,male,super welter,12.45,37.55,27.11,23.5,99.5,123.0,26.91,13.75,22.96,12.75,58.25,71.0
90,90,Samuel Clarkson,22.0,5.0,0.0,172.31,male,cruiser,6.83,29.29,17.83,17.0,70.0,87.0,59.89,22.62,42.0,38.0,109.0,147.0
91,91,Joshua Clottey,40.0,5.0,0.0,,male,middle,16.98,39.06,32.76,23.83,137.17,161.0,31.72,12.65,25.48,19.67,101.5,121.17
92,92,Blair Cobbs,13.0,0.0,1.0,,male,welter,15.07,40.21,29.08,16.0,53.8,69.8,26.25,12.64,22.39,7.0,36.8,43.8
93,93,Razvan Cojanu,17.0,6.0,0.0,268.7,male,heavy,12.38,53.22,42.5,6.5,78.5,85.0,29.08,13.46,26.4,3.5,36.5,40.0
94,94,Chris Colbert,13.0,0.0,0.0,,male,light,19.03,40.34,32.51,17.75,64.75,82.5,25.3,13.85,21.58,11.25,42.75,54.0
95,95,Aaron Coley,16.0,2.0,1.0,157.63,male,middle,12.23,46.21,22.17,19.5,30.5,50.0,41.31,12.0,30.47,7.5,44.0,51.5
96,96,Alexei Collado,25.0,2.0,0.0,125.47,male,super bantam,14.24,33.9,25.31,32.25,99.0,131.25,35.18,8.51,21.34,19.5,74.75,94.25
97,97,Luis Collazo,39.0,8.0,0.0,148.83,male,welter,22.18,41.16,33.77,51.17,148.67,199.83,35.88,8.2,26.85,15.5,140.17,155.67
98,98,Kurtiss Colvin,15.0,3.0,0.0,,male,middle,50.0,41.56,44.25,18.0,32.0,50.0,12.99,16.67,14.16,6.0,10.0,16.0
99,99,Richard Commey,29.0,2.0,0.0,,male,light,9.32,33.75,25.81,9.67,72.67,82.33,40.82,12.05,30.9,12.33,79.33,91.67
100,100,Joshua Conley,16.0,3.0,1.0,157.43,male,super welter,4.17,27.27,19.12,1.0,12.0,13.0,20.0,0.0,9.52,0.0,2.0,2.0
101,101,Yasmany Consuegra,18.0,3.0,0.0,227.92,male,heavy,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
102,102,Charles Conwell,11.0,0.0,0.0,,male,super welter,17.36,46.58,37.55,25.0,150.0,175.0,20.42,8.0,16.49,14.0,77.0,91.0
103,103,Maricela Cornejo,13.0,4.0,0.0,,female,middle,19.63,45.41,31.51,21.25,42.0,63.25,25.66,9.69,19.77,7.0,31.75,38.75
104,104,Andres Cortes,12.0,0.0,0.0,132.17,male,light,16.13,36.28,26.66,25.0,61.5,86.5,32.69,15.1,23.66,29.0,59.5,88.5
105,105,Terence Crawford,35.0,0.0,0.0,,male,welter,20.11,43.58,31.12,41.18,78.88,120.06,29.51,18.3,24.27,29.18,53.71,82.88
106,106,Tyrone Crawley,7.0,1.0,1.0,139.65,male,super light,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
107,107,Francisco Cruz,5.0,1.0,1.0,139.25,male,super welter,33.33,69.23,48.39,6.0,9.0,15.0,16.67,19.05,18.52,4.0,1.0,5.0
108,108,Miguel Cruz,18.0,1.0,0.0,147.46,male,super welter,20.57,36.23,30.59,27.2,85.0,112.2,39.39,17.66,29.83,24.4,69.4,93.8
109,109,Pablo Cruz,18.0,2.0,0.0,125.74,male,super feather,5.39,27.98,16.37,11.0,54.0,65.0,17.57,3.45,8.95,8.0,26.0,34.0
110,110,Ronald Cruz,16.0,1.0,0.0,,male,super welter,12.39,35.89,24.33,34.67,103.83,138.5,36.65,14.25,29.18,25.67,131.83,157.5
111,111,Darryl Cunningham,42.0,9.0,0.0,166.02,male,middle,8.77,35.0,21.03,7.5,26.25,33.75,27.6,5.6,18.93,1.75,13.25,15.0
112,112,Karl Dargan,19.0,1.0,0.0,135.7,male,light,18.0,38.42,28.51,25.43,57.57,83.0,33.68,11.28,22.95,15.57,50.57,66.14
113,113,Gervonta Davis,22.0,0.0,0.0,,male,super feather,11.59,43.63,30.95,6.56,37.67,44.22,31.24,14.43,26.09,6.33,31.0,37.33
114,114,Kyrone Davis,14.0,2.0,0.0,158.56,male,middle,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
115,115,Michael Davis,2.0,35.0,0.0,204.98,male,heavy,6.06,37.31,18.67,6.0,25.0,31.0,48.79,40.35,46.97,23.0,101.0,124.0
116,116,Joey Dawejko,20.0,7.0,4.0,238.82,male,heavy,35.63,56.35,48.22,29.0,71.0,100.0,35.65,21.26,29.11,27.0,54.4,81.4
117,117,Chad Dawson,36.0,5.0,0.0,,male,light heavy,21.19,46.06,32.99,47.64,93.55,141.18,33.55,18.07,26.32,37.91,80.27,118.18
118,118,Ivan Delgado,13.0,3.0,2.0,134.61,male,light,14.85,46.26,36.19,7.5,49.5,57.0,33.69,14.85,27.48,8.5,39.25,47.75
119,119,Donovan Dennis,12.0,4.0,0.0,221.4,male,heavy,14.84,25.1,19.8,19.0,30.0,49.0,36.02,13.83,28.57,6.5,33.5,40.0
120,120,Sergiy Derevyanchenko,13.0,2.0,0.0,,male,middle,18.79,44.33,31.86,32.67,80.78,113.44,35.61,22.49,30.94,26.89,77.0,103.89
121,121,Joseph Diaz,30.0,1.0,0.0,124.48,male,super feather,14.26,42.67,34.56,19.78,148.17,167.94,33.56,11.39,26.58,14.28,91.5,105.78
122,122,Jorge Diaz,19.0,6.0,1.0,123.13,male,super bantam,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
123,123,Anthony Dirrell,33.0,2.0,1.0,,male,super middle,26.82,44.08,37.73,32.23,91.0,123.23,35.19,21.55,29.67,25.08,60.31,85.38
124,124,Domonique Dolton,22.0,3.0,1.0,152.78,male,welter,18.78,43.56,33.88,35.5,128.5,164.0,37.61,15.86,28.93,23.0,82.0,105.0
125,125,Nonito Donaire,40.0,5.0,0.0,,male,bantam,15.23,36.6,25.74,26.14,60.73,86.86,33.78,21.38,27.13,33.77,46.23,80.0
126,126,Omar Douglas,20.0,3.0,0.0,131.41,male,light,19.79,41.51,32.83,28.75,90.5,119.25,36.82,14.87,28.58,23.5,96.75,120.25
127,127,Johann Duhaupas,38.0,5.0,0.0,235.16,male,heavy,25.12,44.88,35.14,52.5,96.5,149.0,50.26,16.83,27.67,67.0,96.0,163.0
128,128,Austin Dulay,14.0,1.0,0.0,,male,light,0.0,8.7,5.71,0.0,1.0,1.0,58.06,3.23,30.65,1.0,18.0,19.0
129,129,Romero Duno,21.0,2.0,0.0,,male,light,8.08,35.85,25.31,16.0,116.0,132.0,35.95,10.73,27.55,19.4,130.2,149.6
130,130,Michael Dutchover,13.0,1.0,0.0,,male,light,8.07,39.74,25.42,8.67,51.67,60.33,44.9,27.79,34.64,34.0,36.67,70.67
131,131,Jahmal Dyer,9.0,2.0,0.0,133.89,male,super feather,21.29,37.5,28.84,43.0,66.0,109.0,38.92,18.3,25.58,56.0,65.0,121.0
132,132,John Edwards,0.0,3.0,0.0,,male,middle,16.67,39.13,31.43,4.0,18.0,22.0,54.21,28.26,46.41,13.0,58.0,71.0
133,133,Rickey Edwards,12.0,4.0,0.0,138.42,male,super light,9.38,27.6,17.09,16.0,34.5,50.5,32.83,15.42,23.29,18.5,32.5,51.0
134,134,Ahmed Elbiali,19.0,1.0,0.0,175.71,male,light heavy,9.11,44.67,32.53,6.44,61.0,67.44,30.06,26.32,28.85,14.44,34.67,49.11
135,135,Ronald Ellis,16.0,1.0,2.0,166.78,male,super middle,11.8,29.56,21.32,30.8,89.2,120.0,29.58,17.89,25.54,28.2,88.2,116.4
136,136,Wanzell Ellison,11.0,2.0,1.0,131.75,male,light,14.63,28.61,24.12,24.0,99.0,123.0,33.0,14.07,26.25,23.5,99.5,123.0
137,137,Kevin Engel,20.0,18.0,0.0,176.3,male,cruiser,12.5,36.07,25.47,17.0,60.0,77.0,33.24,16.96,25.76,16.33,37.67,54.0
138,138,Jaron Ennis,24.0,0.0,0.0,146.43,male,welter,11.06,34.82,25.74,5.75,29.25,35.0,33.45,14.1,29.28,2.75,23.75,26.5
139,139,Shohjahon Ergashev,17.0,0.0,0.0,144.21,male,super light,6.71,39.13,25.67,7.67,63.0,70.67,25.48,14.99,20.0,14.17,22.0,36.17
140,140,Antonio Escalante,29.0,10.0,0.0,125.74,male,super feather,11.93,51.42,38.92,6.5,60.5,67.0,31.42,10.81,22.39,7.33,27.33,34.67
141,141,Eduardo Escobedo,34.0,8.0,0.0,,male,super light,14.34,38.94,26.94,27.33,78.0,105.33,31.07,13.98,23.25,28.33,74.67,103.0
142,142,Francisco Esparza,10.0,1.0,1.0,127.33,male,feather,9.8,42.94,29.38,12.0,76.0,88.0,34.09,22.61,31.72,13.0,75.5,88.5
143,143,Marlen Esparza,7.0,1.0,0.0,,female,fly,9.63,43.28,34.03,8.8,104.4,113.2,29.09,6.12,20.19,6.8,51.2,58.0
144,144,Jonathan Esquivel,12.0,0.0,0.0,161.21,male,super middle,21.62,52.27,43.2,8.0,46.0,54.0,25.93,6.25,22.68,1.0,21.0,22.0
145,145,Seniesa Estrada,18.0,0.0,0.0,,female,fly,7.29,41.0,31.82,5.0,75.14,80.14,30.25,3.74,24.9,1.86,59.43,61.29
146,146,Bakhtiyar Eyubov,14.0,1.0,1.0,148.99,male,welter,19.21,42.27,40.73,3.78,116.11,119.89,39.81,28.9,37.1,21.0,87.67,108.67
147,147,Ike Ezeji,7.0,24.0,1.0,,male,super welter,12.69,29.95,21.09,25.0,56.0,81.0,60.57,39.78,50.0,72.0,106.0,178.0
148,148,Tevin Farmer,30.0,4.0,1.0,,male,super feather,14.22,35.41,29.61,23.0,152.2,175.2,32.43,12.83,26.97,18.7,122.4,141.1
149,149,Luis Feliciano,13.0,0.0,0.0,,male,super light,17.29,44.85,34.5,23.0,99.2,122.2,35.47,10.14,25.4,14.0,74.2,88.2
150,150,Wesley Ferrer,14.0,1.0,1.0,136.95,male,super light,11.65,43.3,28.71,18.33,79.67,98.0,28.84,13.21,24.3,12.33,65.67,78.0
151,151,Brandon Figueroa,20.0,0.0,0.0,,male,super bantam,14.32,35.18,31.33,12.08,130.92,143.0,41.08,10.97,33.07,14.38,148.54,162.92
152,152,Morgan Fitch,19.0,4.0,1.0,165.22,male,super middle,18.33,42.54,29.45,34.0,67.0,101.0,41.67,15.94,25.68,22.0,35.0,57.0
153,153,Antonio Flores,8.0,1.0,0.0,134.62,male,light,24.82,57.19,47.48,34.0,183.0,217.0,43.75,24.39,36.62,50.0,154.0,204.0
154,154,Eric Flores,9.0,0.0,0.0,138.58,male,super light,25.0,44.44,40.91,1.0,8.0,9.0,33.33,12.5,21.43,1.0,2.0,3.0
155,155,Miguel Flores,24.0,2.0,0.0,,male,super feather,17.15,44.51,34.33,32.0,140.2,172.2,42.1,20.16,32.53,44.6,120.4,165.0
156,156,Steve Forbes,36.0,14.0,0.0,,male,middle,17.24,22.38,20.62,25.0,62.0,87.0,24.16,15.46,21.86,15.0,65.0,80.0
157,157,Kevin Ford,4.0,0.0,0.0,125.81,male,super bantam,26.18,48.44,35.33,72.0,93.0,165.0,60.77,55.72,58.97,112.0,220.0,332.0
158,158,Raymond Ford,4.0,0.0,0.0,125.88,male,super feather,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
159,159,Jerry Forrest,26.0,3.0,0.0,230.36,male,heavy,10.53,32.83,24.7,16.0,87.0,103.0,29.24,9.7,22.87,13.0,81.0,94.0
160,160,Javier Fortuna,35.0,2.0,1.0,,male,light,14.73,35.21,27.65,22.43,91.57,114.0,31.05,13.02,25.44,15.07,79.43,94.5
161,161,Charles Foster,19.0,0.0,0.0,,male,light heavy,37.5,54.55,47.37,3.0,6.0,9.0,28.57,0.0,14.29,0.0,4.0,4.0
162,162,O'Shaquie Foster,16.0,2.0,0.0,,male,super feather,13.84,34.73,28.2,22.0,121.33,143.33,34.62,16.79,27.57,37.0,116.67,153.67
163,163,Alantez Fox,26.0,1.0,1.0,157.94,male,middle,23.79,54.51,39.1,69.0,157.0,226.0,25.35,9.86,22.28,7.0,73.0,80.0
164,164,Mykal Fox,21.0,1.0,0.0,140.74,male,welter,5.48,17.3,11.62,6.0,20.5,26.5,28.76,9.07,15.85,19.5,32.5,52.0
165,165,Joshua Franco,15.0,1.0,2.0,,male,bantam,19.92,35.23,29.29,32.25,89.88,122.12,30.32,11.5,25.01,12.38,83.0,95.38
166,166,Jermaine Franklin,20.0,0.0,0.0,238.52,male,heavy,23.14,39.9,31.56,33.5,58.25,91.75,30.77,14.51,23.47,25.75,67.0,92.75
