,miles,location,name,sex,w,l,d,division,from,to,players_links,id
2947,2020,"USA, Arizona, Phoenix",Lorenzo Smith,male,8,0,0,fly,2017,2019,https://boxrec.com/en/proboxer/821407,821407
2948,2020,"USA, Arizona, Phoenix",Chad Davis,male,5,15,0,heavy,2007,2019,https://boxrec.com/en/proboxer/429032,429032
2949,2020,"USA, Arizona, Phoenix",Shawn Sarembock,male,2,0,0,super welter,2019,2019,https://boxrec.com/en/proboxer/890907,890907
2950,2020,"USA, Arizona, Phoenix",Isaac Najera,male,2,0,0,feather,2018,2019,https://boxrec.com/en/proboxer/847834,847834
2951,2020,"USA, Arizona, Phoenix",Ryan Riddell,male,10,0,0,feather,2015,2019,https://boxrec.com/en/proboxer/713899,713899
2952,2020,"USA, Arizona, Phoenix",Marke Garcia,male,5,1,0,super fly,2017,2019,https://boxrec.com/en/proboxer/806878,806878
2953,2020,"USA, Arizona, Phoenix",Victor Arreola,male,1,1,1,light heavy,2013,2019,https://boxrec.com/en/proboxer/637490,637490
2954,2020,"USA, Arizona, Phoenix",Eduardo Ayala,male,5,1,1,light heavy,2017,2019,https://boxrec.com/en/proboxer/811898,811898
2955,2020,"USA, Arizona, Phoenix",Carlos Velasquez,male,3,0,0,light,2018,2019,https://boxrec.com/en/proboxer/846336,846336
2956,2020,"USA, Arizona, Phoenix",Danny Riddell Jr,male,2,0,0,super light,2019,2019,https://boxrec.com/en/proboxer/879436,879436
2957,2020,"USA, Arizona, Phoenix",Kingsley Ibeh,male,1,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/898187,898187
2958,2020,"USA, Arizona, Phoenix",Jose Barrera,male,2,1,0,light,2018,2018,https://boxrec.com/en/proboxer/839519,839519
2959,2020,"USA, Arizona, Phoenix",Anton Wright Jr,male,2,0,0,feather,2019,2019,https://boxrec.com/en/proboxer/879444,879444
2960,2020,"USA, Arizona, Phoenix",Marco Antonio Diaz,male,1,0,0,super fly,2019,2019,https://boxrec.com/en/proboxer/879441,879441
2961,2020,"USA, Arizona, Phoenix",Stephan McCray,male,0,6,0,super welter,2009,2019,https://boxrec.com/en/proboxer/497792,497792
2962,2020,"USA, Arizona, Phoenix",Adolfo Ramos,male,0,2,0,middle,2018,2019,https://boxrec.com/en/proboxer/834636,834636
2963,2020,"USA, Arizona, Phoenix",Michael Robertson,male,0,2,0,cruiser,2018,2018,https://boxrec.com/en/proboxer/841690,841690
2964,2024,"USA, Arizona, Glendale",Trevor McCumby,male,25,0,0,light heavy,2010,2018,https://boxrec.com/en/proboxer/550236,550236
2965,2024,"USA, Arizona, Glendale",Omar Samano,male,2,0,0,super welter,2019,2019,https://boxrec.com/en/proboxer/858130,858130
2966,2024,"USA, Arizona, Glendale",Farid Ngoga,male,2,0,0,middle,2019,2019,https://boxrec.com/en/proboxer/868045,868045
2967,2024,"USA, Arizona, Glendale",Danny Barrios Flores,male,2,0,0,feather,2019,2019,https://boxrec.com/en/proboxer/858131,858131
2968,2024,"USA, Arizona, Glendale",Estevan Payan,male,1,8,1,super middle,2012,2019,https://boxrec.com/en/proboxer/609451,609451
2969,2024,"USA, Arizona, Glendale",Adam Young,male,0,13,0,super welter,2017,2019,https://boxrec.com/en/proboxer/794406,794406
2970,2030,"USA, Arizona, Tolleson",Michael Fernandez,male,1,1,0,super light,2016,2019,https://boxrec.com/en/proboxer/889697,889697
2971,2030,"USA, Arizona, Tolleson",William Fernandez,male,0,8,0,welter,2012,2019,https://boxrec.com/en/proboxer/608185,608185
2972,2032,"USA, Idaho",Cheyenne Ziegler,male,3,14,0,middle,2007,2019,https://boxrec.com/en/proboxer/393403,393403
2973,2035,"USA, Arizona, Avondale",Raymundo Beltran,male,36,9,1,super light,1999,2019,https://boxrec.com/en/proboxer/19566,19566
2974,2035,"USA, Arizona, Avondale",Alfredo Escarcega,male,8,0,1,super light,2017,2019,https://boxrec.com/en/proboxer/793192,793192
2975,2038,"USA, Arizona, Goodyear",Breenan Rhyes Macias,male,5,0,2,bantam,2018,2019,https://boxrec.com/en/proboxer/831167,831167
2976,2042,"USA, Arizona, Maricopa County",Dale Sopi,male,0,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/851853,851853
